locus_tag,gene_name
sll1186_5'UTR,sll1186
slr1365,bioY
sll0222,phoA
slr1302,cupB
sll1029,ccmK1
sll1229,hik41
sll1228,hik4
slr1784,bvdR
sll1533,pilT2
slr2046-as,slr2046-as
sll1927,sll1927
slr1067,galE
sll0267-as,sll0267-as
sll0242,sll0242
sll1605,fabZ
sll1866,sll1866
slr0355,slr0355
slr2076-as3,slr2076-as3
slr1668,slr1668
sll1895,sll1895
sll0404,glcD
slr0318,slr0318
slr0013,slr0013
sll0413,sll0413
slr1299,slr1299
slr2012,slr2012
slr1816,slr1816
ssr0761,ssr0761
slr0194,rpiA
slr0244,slr0244
sll0070,purU
slr0404-as,slr0404-as
sll1425,proS
slr1608,gdhB
sll1570,sll1570
slr0162,pilC
sll0752,sll0752
ncr0640,ncr0640
sll0564,sll0564
sll0939,sll0939
slr0633,thiG
sll1292,taxY2
ncl1780,ncl1780
sll1214,cycI; ycf59
slr0738_5'UTR,trpE
sll1231,mtfB
slr0774,secD
sll1084,sll1084
slr1846,ycf64
sll1994,hemB
slr0095,slr0095
slr7102,slr7102
slr1178,slr1178
slr0971,slr0971
slr0983,rfbF
slr0639,slr0639
sll0382,sll0382
sll0208,sll0208
sll0423,sll0423
sll1225,sll1225
slr0090,ppd
sll1441,desB
slr1295,futA1
sll1277,recF
ssr1951,ssr1951
slr0018,fumC
slr0325,slr0325
sll0096,sll0096
sll0099,cbiE;  cbiT;  cobL
slr0119,brkB
slr1575,slr1575
slr1147,hik2
sll1885,sll1885
sll0646-as,sll0646-as
sll1584-as,sll1584-as
slr1704,slr1704
slr0193,rbp3
sll1019,gloB
slr7060,slr7060
slr5087,slr5087
sll1744,rpl1
sll0803,sll0803
slr0238,slr0238
sll1424-as2,sll1424-as2
slr1796,slr1796
slr0431_5'UTR,slr0431
sll0020,clpC
slr5013,slr5013
sll1629,phr
sll1213,sll1213
slr0599,slr0599
slr1303,slr1303
slr1062,slr1062
ncr1280,ncr1280
slr2046,slr2046
slr0677,exbB
Norf8,Norf8
slr1414,hik11
slr1396,slr1396
slr2132,pta
sll1334-as,sll1334-as
ssr2912,ssr2912
slr0927,psbD2
slr1330,atpE
slr1530,slr1530
slr1209,slr1209
slr0749,chlL
slr1349,pgi
slr1628,slr1628
sll1124,plpA;  hik3
sll1400,sll1400
slr0459,slr0459
sll0022,sll0022
slr1280,ndhK
ssr3304,ssr3304
slr1826,slr1826
sll0181,sll0181
sll0873-as,sll0873-as
sll0470,sll0470
sll1444,leuD
ncr0700,ncr0700
ncr0920,ncr0920
sll1710,sll1710
ssl0323,ssl0323
sll1769,sll1769
slr0938,slr0938
ncl1180,ncl1180
sll5132,sll5132
slr0731,slr0731
slr1517,leuB
ncr0250,ncr0250
ssr3300,ssr3300
slr0333_5'UTR,slr0333
slr0765,slr0765
slr0772,chlB
slr0753,slr0753
sll1739-as,sll1739-as
sll0180,sll0180
slr0810,slr0810
ssr1720,tyrS
sll1810,rpl6
sll1030,ccmL
slr1050,slr1050
sml0003_5'UTR,psbM
sll0537,amt3
sll0567,fur
Norf7,Norf7
sll0262,desD
ncr0300,ncr0300
slr1778,slr1778
sll2013,sll2013
sll1524,sll1524
slr1453,cysT
slr0870,slr0870
sll0854,sll0854
sll1193,sll1193
sll0473,sll0473
sll1678,sll1678
sll0749,sll0749
slr0083,crhR
sll1703,sppA
sll0226,ycf4
slr0839_3'UTR,hemH;  scpA
slr2018,slr2018
ssr5117,ssr5117
ncl0260,ncl0260
sll1245_5'UTR,cytM
sll0608,ycf49
slr1813,slr1813
sll0823,sdhB
slr1392,feoB
slr1979,trpE
slr1783,ycf29
sll1541,sll1541
ssl2009,ssl2009
slr2008_5'UTR,slr2008
sll1814,secY
sll0149_5'UTR,sll0149
sll1121,sll1121
sll0869,aat
sll1415,ppnK
slr0519,slr0519
ssl6092,ssl6092
ssl0546,minE
ssl2250,ssl2250
sll1879_5'UTR,ycf55
sll2003,sll2003
slr0306,slr0306
sll0217-as2,sll0217-as2
slr2098,hik21
sll1677,sll1677
slr0091,slr0091
sll1304,sll1304
sll0905,maf
slr1443,pknA
sll1479,devB
slr0020,recG
slr0151,slr0151
slr1950,ctaA
sll0108-as,sll0108-as
sll1834,sll1834
sll1221,hoxF
slr0179,slr0179
sll1981,ilvB
sll0639,sll0639
slr5022,slr5022
sll0189,sll0189
sll1386,sll1386
sll1941-as,sll1941-as
sll1446,sll1446
slr1137,ctaDI
slr0738,trpE
slr0388,slr0388
slr1964,slr1964
slr1181-as,slr1181-as
slr1255_5'UTR,pys;  crtB
sll0474,hik28
slr0708,slr0708
sll1535,rfbP
ssr2009,ssr2009
sll0615,sll0615
slr0114,slr0114
sll1498_5'UTR,carA
sll1286,sll1286
sll1723,sll1723
slr0722,slr0722
sll1372,sll1372
sll1129,todF
sll2007,sll2007
slr1647,slr1647
ssr1473,ssr1473
sll1773,sll1773
sll0721,sll0721
sll0361,sll0361
slr1772,slr1772
sll0810,sll0810
slr1780,ycf54
sll1546-as,sll1546-as
sll0617_3'UTR,vipp1
sll0282,sll0282
slr7092,slr7092
sll1338,sll1338
sll0284_5'UTR,sll0284
sll0224,sll0224
slr0637,slr0637
sll1418,psbP2
sll0779,sll0779
sll1315,sll1315
ssr1038,ssr1038
ncr1630,ncr1630
slr1114,slr1114
sll1127-as2,sll1127-as2
sll1515,gifB
slr1028-as,slr1028-as
sll1069,fabF
sll0149,sll0149
sll0051,sll0051
slr7024,slr7024
slr1380,cydB
slr0459-as,slr0459-as
ssl1972,ssl1972
sll0034,sll0034
slr5119,slr5119
slr5055,slr5055
sll1253-as,sll1253-as
slr1281,ndhJ
sll1563,sll1563
slr0214,slr0214
sll1594,ndhR
slr0492,menE
sll0146,natC
slr1590,slr1590
sll1613,sll1613
ncl1410,ncl1410
slr1169,slr1169
slr1163,slr1163
slr1747,slr1747
sll1689,sigE; rpoD2-V
ncl1020,ncl1020
slr0688-as,slr0688-as
slr2044,slr2044
sll0355,sll0355
ncr0060,ncr0060
slr1909,slr1909
ncl0920,ncl0920
sll1062,sll1062
ssr1527,ssr1527
slr0147,slr0147
slr1610,slr1610
slr1293,slr1293
slr1731,kdpD
sll0395,pgam2
sll0328,sll0328
slr1803,mbpA
ssl1417,ycf33
slr1039,slr1039
sll0413_5'UTR,sll0413
slr0469,rps4
sll0900,hisG
slr0328,slr0328
slr1097,slr1097
sll1459,surE
ssr3000,ssr3000
sll1324,atpF
sll0915,pqqE
slr1843,zwf
slr1467,slr1467
sll0898,sll0898
sll0176,sll0176
sll0898-as,sll0898-as
ssl2615,atpH
slr5111,slr5111
slr1790_5'UTR,slr1790
sll0634_5'UTR,btpA
slr0657,lysC
ssr3402,ssr3402
ssl3573,ssl3573
sll1101_3'UTR,rps10
sll1654,sll1654
sll1980,trxA
sll0786,sll0786
slr1415,slr1415
sll0220_5'UTR,glmS
slr1636-as,slr1636-as
sll1520,recN
slr0743,nusA
sll1101,rps10
sll1094,sll1094
sll1475,hik32; ccaS
slr1171,gpx1
sll1376-as,sll1376-as
sll1471_3'UTR,cpcG2
sll0656-as,sll0656-as
ncr1680,ncr1680
sll1464-as,sll1464-as
slr2053_5'UTR,slr2053
sll0811,sll0811
slr1616,slr1616
slr1476,pyrB
slr0698,slr0698
sll1709,gdh
sll0330,fabG
slr0487,slr0487
sll1045_5'UTR,mutT
slr1617,slr1617
ssl2717-as,ssl2717-as
sll0996,sll0996
sll1635,sll1635
ssr2049,bchB
slr0865-as,slr0865-as
slr5037,slr5037
sll0849_5'UTR,psbD1
slr1037,slr1037
slr0366,slr0366
slr0152,slr0152
slr2082,ctaDII
slr0105,slr0105
slr0239,cobM
slr0886_5'UTR,fabG
ssl1552_5'UTR,ssl1552
slr0344,rfbW
slr0552,slr0552
slr1913,slr1913
ssr1604-as,ssr1604-as
ssl3692,ssl3692
ssl2653,ssl2653
sll0541-as,sll0541-as
sll1695-as,sll1695-as
slr0960,slr0960
sll0611,sll0611
ncl0180,ncl0180
ssr1558-as,ssr1558-as
slr0143-as,slr0143-as
slr0937,slr0937
slr2043-as2,slr2043-as2
slr0012,rbcS
slr0415,nhaS5
sll1343,ape2
slr1895,slr1895
slr0111,slr0111
sll1663,sll1663
ncr0560,ncr0560
slr0730,slr0730
sll1526,sll1526
slr0443,slr0443
sll0301,sll0301
slr1556,ddh
slr1170_5'UTR,slr1170
slr1943,dpm1
sll0947,lrtA
slr2071,slr2071
slr0871,slr0871
slr0148,slr0148
slr0543,trpB
sll1076,pacL
CRISPR2,CRISPR2 array
sll0830,fus
sll0261,sll0261
slr0588,slr0588
slr0852,slr0852
sll0990,sll0990
sll1736,sll1736
ssl2420,ssl2420
slr1704-as,slr1704-as
slr0426,folE
sll1344-as,sll1344-as
slr0267-as,slr0267-as
ssl0601_5'UTR,rps21
sll0094,hik37
slr1119,slr1119
sll1358_5'UTR,sll1358
sll1886,sll1886
slr0713_5'UTR,tgt
slr1697,pknA
ssr1274,ssr1274
slr2088,ilvG
ncl0320,ncl0320
slr1124,psp
ssl0452,nblA1
sll0168,sll0168
slr1897_5'UTR,srrA
ssr0330_5'UTR,ftrV
sll1263,sll1263
sll1694,pilA1
sll0887,sll0887
slr0907_5'UTR,slr0907
sll1327_3'UTR,atpC
slr0208,slr0208
sll1488,sll1488
sll1524-as,sll1524-as
sll1851-as,sll1851-as
slr2004,slr2004
sll1387,pppA
slr1799,slr1799
slr1116,slr1116
sll0141,sll0141
slr1658,slr1658
ssl2148,ssl2148
sll0103,sll0103
sll0379,lpxA
slr0467,natA
slr0689,slr0689
sll0370-as,sll0370-as
slr7099,slr7099
ssl2874,ssl2874
ssl0467,ssl0467
slr0585,argG
slr0982,rfbB
sll1824,rpl25
slr0898,nirA
sll0335_5'UTR,sll0335
sll0192,sll0192
slr1523,slr1523
slr0477,purN
ssl3222,ssl3222
sll1687,hik17
slr0479,slr0479
ncr0090,ncr0090
slr0511,slr0511
slr1609,slr1609
sll0659,sll0659
sll1196,pfkA1
slr0066,ribD
sll0376,sll0376
slr1863,slr1863
sll0038,pixG;  pisG;  taxP1;  rer1
slr0630,slr0630
slr5127,slr5127
slr1869,slr1869
ncl0530,ncl0530
ncl0660,ncl0660
sll1057,trxM2
slr1033,slr1033
sll1322,atpI
slr0011,rbcX
sll1821,rpl13
sll0541_5'UTR,desC; des9
sll1915,sll1915
sll0703,sll0703
slr0756,kaiA
slr2051,cpcG1
sll1388,sll1388
sll0273,nhaS2
slr1623,slr1623
slr0912,slr0912
slr0444-as,slr0444-as
slr0520,purL
slr5112,slr5112
sll0264,sll0264
ssr0761-as,ssr0761-as
slr0193_5'UTR,rbp3
sll0426,sll0426
slr0267,slr0267
sll0258,psbV
sll0608_5'UTR,ycf49
sll0008,sll0008
slr0063,pilB1
sll1876,hemN
sll0926,sll0926
slr1661_5'UTR,slr1661
sll0601,sll0601
ncr0850,ncr0850
ssr3588,ssr3588
slr1655,psaL
slr1028-as8,slr1028-as8
slr2098_5'UTR,hik21
sll1774,sll1774
slr1129,rne
sll1462,hypE
sll0494,sll0494
ncr0450,ncr0450
slr0925,ssb
sll0868,lipA
ssr5120,ssr5120
slr1022,argD
slr0264,slr0264
slr0036,aspC
sll1157,sll1157
sll0252,sll0252
